Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
drone_body,-1.75E-06,3.6406E-17,-0.0066787,0,0,0,0.16754,0.00021488,-3.2374E-21,2.2069E-20,0.00066848,-2.1689E-20,0.00067365,0,0,0,0,0,0,package://drone_description/meshes/drone_body.STL,0,1,0,1,0,0,0,0,0,0,package://drone_description/meshes/drone_body.STL,,Flex Drone Body 0 deg-2,global_coord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
front_arm,1.1576E-05,-1.6877E-10,0.0052885,0,0,0,0.048886,0.0001324,7.4485E-13,-4.5157E-11,2.6042E-06,-5.8498E-16,0.00013238,0,0,0,0,0,0,package://drone_description/meshes/front_arm.STL,0,1,0,1,0,0,0,0,0,0,package://drone_description/meshes/front_arm.STL,,Flex Drone Arm-1,front_arm,front_arm_axle,front_arm_joint,continuous,0.132698263984774,0,-0.00435147882953481,0,0,0,drone_body,0,1,0,,,,,,,,,,,,0
front_right_prop,3.4747E-06,0,0.0015875,0,0,0,0.0050401,1.2716E-06,7.621E-22,2.7648E-09,1.2716E-06,1.069E-23,2.5348E-06,0,0,0,0,0,0,package://drone_description/meshes/front_right_prop.STL,1,0,0,1,0,0,0,0,0,0,package://drone_description/meshes/front_right_prop.STL,,Flex Drone Prop-1,front_right_motor,front_right_axle,front_right_prop_joint,continuous,4.16969823919255E-05,-0.1325,0.0190499543663921,0,0,0,front_arm,0.00218881797337959,0,0.999997604535071,,,,,,,,,,,,0
front_left_prop,3.4747E-06,0,0.0015875,0,0,0,0.0050401,1.2716E-06,-6.3008E-23,2.7648E-09,1.2716E-06,-5.8061E-24,2.5348E-06,0,0,0,0,0,0,package://drone_description/meshes/front_left_prop.STL,1,0,0,1,0,0,0,0,0,0,package://drone_description/meshes/front_left_prop.STL,,Flex Drone Prop-2,front_left_motor,front_left_axle,front_left_prop_joint,continuous,4.16969823919811E-05,0.1325,0.0190499543663921,0,0,0,front_arm,0.00218881797337959,0,0.999997604535071,,,,,,,,,,,,0
front_right_wing,1.9765E-07,3.6082E-16,8.4714E-05,0,0,0,0.010641,3.2224E-05,8.3423E-12,-1.7271E-09,1.0035E-06,-1.826E-14,3.1435E-05,0,0,0,0,0,0,package://drone_description/meshes/front_right_wing.STL,1,0,0,1,0,0,0,0,0,0,package://drone_description/meshes/front_right_wing.STL,,Flex Drone Wing-1,front_right_wing,front_arm_axle,front_right_wing_joint,fixed,-3.7249E-05,-0.1325,-0.017018,0,0,0,front_arm,0,0,0,,,,,,,,,,,,0
front_left_wing,1.7418E-07,0,8.4714E-05,0,0,0,0.010641,3.2224E-05,8.3423E-12,-1.728E-09,1.0035E-06,-1.826E-14,3.1435E-05,0,0,0,0,0,0,package://drone_description/meshes/front_left_wing.STL,1,0,0,1,0,0,0,0,0,0,package://drone_description/meshes/front_left_wing.STL,,Flex Drone Wing-2,front_left_wing,front_arm_axle,front_left_wing_joint,fixed,-3.7249E-05,0.1325,-0.017018,0,0,0,front_arm,0,0,0,,,,,,,,,,,,0
back_arm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://drone_description/meshes/back_arm.STL,0,1,0,1,0,0,0,0,0,0,package://drone_description/meshes/back_arm.STL,,Flex Drone Arm-2,back_arm,back_arm_axle,back_arm_joint,continuous,-0.132701764015227,0,0.0156484811704651,0,0,0,drone_body,0,-1,0,,,,,,,,,,,,0
back_right_prop,5.1074E-06,-2.7756E-17,0.0015875,0,0,0,0.0050401,1.2716E-06,1.2974E-22,4.0639E-09,1.2716E-06,7.4795E-23,2.5348E-06,0,0,0,0,0,0,package://drone_description/meshes/back_right_prop.STL,1,0,0,1,0,0,0,0,0,0,package://drone_description/meshes/back_right_prop.STL,,Flex Drone Prop-3,back_right_motor,back_right_axle,back_right_prop_joint,continuous,6.12892824355029E-05,-0.1325,0.0190499014071944,0,0,0,back_arm,0.00321728516721246,0,0.999994824524684,,,,,,,,,,,,0
back_left_prop,5.1074E-06,0,0.0015875,0,0,0,0.0050401,1.2716E-06,1.3018E-22,4.0639E-09,1.2716E-06,2.1392E-22,2.5348E-06,0,0,0,0,0,0,package://drone_description/meshes/back_left_prop.STL,1,0,0,1,0,0,0,0,0,0,package://drone_description/meshes/back_left_prop.STL,,Flex Drone Prop-4,back_left_motor,back_left_axle,back_left_prop_joint,continuous,6.12892824354751E-05,0.1325,0.0190499014071944,0,0,0,back_arm,0.00321728516721246,0,0.999994824524684,,,,,,,,,,,,0
back_right_wing,2.85E-07,0,8.4713E-05,0,0,0,0.010641,3.2224E-05,8.3423E-12,-2.5389E-09,1.0035E-06,-2.684E-14,3.1435E-05,0,0,0,0,0,0,package://drone_description/meshes/back_right_wing.STL,1,0,0,1,0,0,0,0,0,0,package://drone_description/meshes/back_right_wing.STL,,Flex Drone Wing-4,back_right_wing,back_arm_axle,back_right_wing_joint,fixed,-5.47517589746978E-05,-0.1325,-0.0170179119237633,0,0,0,back_arm,0,0,0,,,,,,,,,,,,0
back_left_wing,2.6154E-07,0,8.4714E-05,0,0,0,0.010641,3.2224E-05,8.3423E-12,-2.5398E-09,1.0035E-06,-2.684E-14,3.1435E-05,0,0,0,0,0,0,package://drone_description/meshes/back_left_wing.STL,1,0,0,1,0,0,0,0,0,0,package://drone_description/meshes/back_left_wing.STL,,Flex Drone Wing-7,back_left_wing,back_arm_axle,back_left_wing_joint,fixed,-5.47517589748713E-05,0.1325,-0.0170179119237634,0,0,0,back_arm,0,0,0,,,,,,,,,,,,0
